EUR
+U1418343   KKR 2015-03-04, 15:38:25    2015-03-09  -   SELL    -100    23.7710 2,377.10    -1.04   0.00    D;P
Total KKR (Sold)    -100    23.7710 2,377.10    -1.04   0.00     
Total KKR   40      -684.60 -5.04   0.00     
+U1418343   KMI 2015-06-05, 09:32:43    2015-06-10  -   BUY 10  40.0000 -400.00 -1.00   0.00     
+U1418343   KMI 2015-06-12, 08:40:05    2015-06-17  -   BUY 10  39.0000 -390.00 -1.00   0.00     
+U1418343   KMI 2015-07-17, 09:36:34    2015-07-22  -   BUY 10  37.0000 -370.00 -1.00   0.00     
+U1418343   KMI 2015-07-24, 10:37:30    2015-07-29  -   BUY 10  35.0000 -350.00 -1.00   0.00     
+U1418343   KMI 2015-08-03, 13:03:14    2015-08-06  -   BUY 10  33.8000 -338.00 -1.00   0.00     
Total KMI (Bought)  50  36.9600 -1,848.00   -5.00   0.00     
+U1418343   KMI 2014-11-13, 10:51:02    2014-11-18  -   SELL    -80 38.8000 3,104.00    -1.07   0.00     
Total KMI (Sold)    -80 38.8000 3,104.00    -1.07   0.00     
Total KMI   -30     1,256.00    -6.07   0.00     
+U1418343   KO  2015-06-12, 09:38:44    2015-06-17  -   BUY 15  40.0000 -600.00 -1.00   0.00     
Total KO (Bought)   15  40.0000 -600.00 -1.00   0.00     
+U1418343   MIC 2015-06-29, 14:07:18    2015-07-02  -   BUY 5   82.5100 -412.55 -1.00   0.00     
+U1418343   MIC 2015-08-14, 09:50:53    2015-08-19  -   BUY 5   78.3090 -391.54 -1.00   0.00     
Total MIC (Bought)  10  80.4095 -804.10 -2.00   0.00     
+U1418343   MKL 2015-08-03, 09:48:33    2015-08-06  -   BUY 1   894.2900    -894.29 -1.00   0.00     
Total MKL (Bought)  1   894.2900    -894.29 -1.00   0.00     
+U1418343   MO  2015-05-18, 14:03:40    2015-05-21  -   BUY 25  52.0500 -1,301.25   -1.00   0.00     
+U1418343   MO  2015-07-29, 12:12:20    2015-08-03  -   BUY 5   54.2500 -271.25 -1.00   0.00    D
Total MO (Bought)   30  52.4166667  -1,572.50   -2.00   0.00     
+U1418343   NRZ 2015-05-18, 14:10:59    2015-05-21  -   BUY 35  17.4700 -611.45 -1.00   0.00     
+U1418343   NRZ 2015-06-09, 10:05:09    2015-06-12  -   BUY 15  16.5400 -248.10 -1.00   0.00     
+U1418343   NRZ 2015-06-10, 15:24:58    2015-06-15  -   BUY 20  15.9500 -319.00 -1.00   0.00     
Total NRZ (Bought)  70  16.8364286  -1,178.55   -3.00   0.00     
+U1418343   NTI 2015-02-04, 04:03:10    2015-02-09  -   BUY 100 22.5000 -2,250.00   -1.00   0.00     
Total NTI (Bought)  100 22.5000 -2,250.00   -1.00   0.00     
+U1418343   NTI 2015-02-04, 10:43:50    2015-02-09  -   SELL    -50 22.2000 1,110.00    -1.02   0.00     
+U1418343   NTI 2015-02-05, 11:28:00    2015-02-10  -   SELL    -50 22.5400 1,127.00    -1.02   0.00     
Total NTI (Sold)    -100    22.3700 2,237.00    -2.05   0.00     
Total NTI   0       -13.00  -3.05   0.00     
+U1418343   NYMT    2015-04-20, 15:23:39    2015-04-23  -   BUY 100 7.8600  -786.00 -1.00   0.00     
Total NYMT (Bought) 100 7.8600  -786.00 -1.00   0.00     
+U1418343   NYMT    2015-05-11, 10:01:26    2015-05-14  -   SELL    -100    7.7700  777.00  -1.01   0.00     
Total NYMT (Sold)   -100    7.7700  777.00  -1.01   0.00     
Total NYMT  0       -9.00   -2.01   0.00     
+U1418343   OHI 2015-05-13, 13:15:14    2015-05-18  -   BUY 15  35.5000 -532.50 -1.00   0.00     
Total OHI (Bought)  15  35.5000 -532.50 -1.00   0.00     
+U1418343   ONCY    2015-05-21, 09:40:50    2015-05-27  -   BUY 100 0.7100  -71.00  -1.00   0.00     
+U1418343   ONCY    2015-08-04, 14:58:01    2015-08-07  -   BUY 100 0.5801  -58.01  -1.00   0.00    D
Total ONCY (Bought) 200 0.64505 -129.01 -2.00   0.00     
+U1418343   PJT 2015-10-01      -   SELL    -0.5    24.5455 12.27   0.00    0.00     
Total PJT (Sold)    -0.5    24.5455 12.27   0.00    0.00     
+U1418343   PYPL    2015-07-21, 14:01:50    2015-07-24  -   BUY 10  40.0000 -400.00 -1.00   0.00     
Total PYPL (Bought) 10  40.0000 -400.00 -1.00   0.00     
+U1418343   RDS A   2015-04-30, 08:17:17    2015-05-05  -   BUY 10  64.1000 -641.00 -1.00   0.00     
Total RDS A (Bought)    10  64.1000 -641.00 -1.00   0.00     
+U1418343   RDS A   2015-05-11, 09:31:49    2015-05-14  -   SELL    -10 64.2000 642.00  -1.01   0.00     
Total RDS A (Sold)  -10 64.2000 642.00  -1.01   0.00     
Total RDS A 0       1.00    -2.01   0.00     
+U1418343   SCTY    2014-10-30, 09:45:20    2014-11-04  -   BUY 140 54.0500 -7,567.00   -1.00   0.00    D
+U1418343   SCTY    2014-11-05, 10:46:49    2014-11-10  -   BUY 100 53.0000 -5,300.00   -1.00   0.00     
+U1418343   SCTY    2014-11-05, 13:27:06    2014-11-10  -   BUY 40  52.0000 -2,080.00   -1.00   0.00     
+U1418343   SCTY    2014-11-17, 11:17:53    2014-11-20  -   BUY 50  53.5000 -2,675.00   -1.00   0.00    P
+U1418343   SCTY    2014-11-18, 10:27:10    2014-11-21  -   BUY 50  55.5000 -2,775.00   -1.00   0.00     
+U1418343   SCTY    2014-11-18, 11:15:08    2014-11-21  -   BUY 50  56.0000 -2,800.00   -1.00   0.00     
+U1418343   SCTY    2014-11-18, 11:43:50    2014-11-21  -   BUY 50  56.0000 -2,800.00   -1.00   0.00     
+U1418343   SCTY    2014-11-19, 10:24:29    2014-11-24  -   BUY 50  55.2600 -2,763.00   -1.00   0.00     
+U1418343   SCTY    2014-11-21, 09:40:48    2014-11-26  -   BUY 50  55.5000 -2,775.00   -1.00   0.00     
+U1418343   SCTY    2014-11-21, 10:07:34    2014-11-26  -   BUY 50  55.7500 -2,787.50   -1.00   0.00     
+U1418343   SCTY    2014-12-02, 11:30:28    2014-12-05  -   BUY 50  50.7800 -2,539.00   -1.00   0.00     
+U1418343   SCTY    2014-12-03, 11:45:25    2014-12-08  -   BUY 25  52.0000 -1,300.00   -1.00   0.00     
+U1418343   SCTY    2014-12-03, 15:22:58    2014-12-08  -   BUY 25  51.7500 -1,293.75   -1.00   0.00     
+U1418343   SCTY    2014-12-04, 10:32:49    2014-12-09  -   BUY 50  52.3000 -2,615.00   -1.00   0.00     
